,Itemset,Support(count),Support(%),Support Object
0,"['soda', 'other vegetables']",145,0.9690570072846354,"['T4368', 'T3749', 'T4630', 'T5708', 'T17', 'T2100', 'T1561', 'T1756', 'T1349', 'T1985', 'T6685', 'T5981', 'T3746', 'T1272', 'T4754', 'T6127', 'T4183', 'T614', 'T5311', 'T6594', 'T6602', 'T6893', 'T2790', 'T5896', 'T5714', 'T4824', 'T7351', 'T5507', 'T6976', 'T2698', 'T6002', 'T25', 'T5870', 'T6990', 'T3010', 'T3540', 'T5822', 'T6800', 'T3779', 'T4848', 'T1483', 'T237', 'T763', 'T2523', 'T717', 'T4743', 'T4410', 'T6413', 'T3773', 'T6965', 'T3347', 'T4565', 'T7003', 'T1352', 'T5305', 'T134', 'T1900', 'T877', 'T1972', 'T2056', 'T784', 'T5560', 'T6410', 'T1586', 'T1841', 'T4573', 'T4477', 'T6055', 'T760', 'T3498', 'T5082', 'T3144', 'T603', 'T1753', 'T5048', 'T6015', 'T1809', 'T4363', 'T3781', 'T4521', 'T3363', 'T4080', 'T2702', 'T7106', 'T1830', 'T7387', 'T1312', 'T219', 'T1496', 'T6999', 'T739', 'T852', 'T2152', 'T7423', 'T7072', 'T5751', 'T3511', 'T2142', 'T4224', 'T7713', 'T3102', 'T1121', 'T3461', 'T4739', 'T2990', 'T7415', 'T3515', 'T5491', 'T7209', 'T936', 'T553', 'T1301', 'T3529', 'T2421', 'T7804', 'T3015', 'T46', 'T3173', 'T3988', 'T658', 'T5920', 'T1729', 'T1247', 'T5735', 'T90', 'T1382', 'T5839', 'T6059', 'T3689', 'T5684', 'T6102', 'T6274', 'T1339', 'T3355', 'T2269', 'T2786', 'T2265', 'T5746', 'T7318', 'T7451', 'T3037', 'T7857', 'T7425', 'T1971', 'T1230']"
1,"['soda', 'whole milk']",174,1.1628684087415626,"['T1401', 'T6134', 'T4126', 'T3749', 'T3012', 'T6046', 'T17', 'T2662', 'T2351', 'T5819', 'T7551', 'T4139', 'T4171', 'T3055', 'T123', 'T1962', 'T7283', 'T5895', 'T6705', 'T6907', 'T7662', 'T3360', 'T5978', 'T6791', 'T6557', 'T584', 'T7325', 'T4019', 'T4824', 'T6984', 'T3390', 'T3527', 'T2933', 'T6976', 'T1458', 'T3464', 'T2424', 'T4876', 'T4228', 'T503', 'T2980', 'T3582', 'T117', 'T2457', 'T1122', 'T401', 'T6812', 'T1682', 'T231', 'T6716', 'T1344', 'T7412', 'T862', 'T1161', 'T2991', 'T6478', 'T7239', 'T6289', 'T5193', 'T7003', 'T3245', 'T2086', 'T4203', 'T3535', 'T487', 'T2907', 'T2696', 'T5122', 'T7479', 'T6969', 'T6410', 'T1442', 'T2335', 'T4306', 'T7498', 'T129', 'T6779', 'T7710', 'T5622', 'T663', 'T7164', 'T4576', 'T3781', 'T4975', 'T148', 'T2447', 'T4151', 'T6426', 'T3306', 'T2235', 'T7106', 'T69', 'T1312', 'T6584', 'T777', 'T7564', 'T2791', 'T3892', 'T4490', 'T2080', 'T2152', 'T1686', 'T6190', 'T504', 'T5751', 'T3511', 'T5887', 'T4448', 'T2395', 'T2997', 'T290', 'T6368', 'T6283', 'T1494', 'T4625', 'T554', 'T4739', 'T212', 'T3178', 'T2990', 'T102', 'T3092', 'T3099', 'T6447', 'T6706', 'T6265', 'T534', 'T7078', 'T5375', 'T4211', 'T3173', 'T5878', 'T6802', 'T1479', 'T6370', 'T7363', 'T5735', 'T6771', 'T7381', 'T6300', 'T5395', 'T150', 'T6331', 'T4316', 'T1637', 'T1565', 'T5512', 'T3038', 'T866', 'T1214', 'T6810', 'T5234', 'T5065', 'T7817', 'T6578', 'T2352', 'T3994', 'T154', 'T5605', 'T4674', 'T7630', 'T2323', 'T2047', 'T1516', 'T6427', 'T5072', 'T701', 'T3278', 'T238', 'T4284', 'T1971', 'T5336', 'T961', 'T2575']"
2,"['soda', 'rolls/buns']",121,0.8086613646995924,"['T3439', 'T694', 'T3749', 'T5708', 'T6681', 'T4815', 'T4259', 'T955', 'T2825', 'T2952', 'T7240', 'T2791', 'T6685', 'T6991', 'T6827', 'T5981', 'T4462', 'T7046', 'T3672', 'T1885', 'T6602', 'T2555', 'T504', 'T4960', 'T4448', 'T2099', 'T5887', 'T5498', 'T3349', 'T6069', 'T2660', 'T7522', 'T2255', 'T1036', 'T6446', 'T473', 'T4274', 'T4917', 'T1494', 'T2492', 'T6787', 'T3833', 'T3386', 'T4196', 'T1458', 'T3464', 'T3092', 'T5615', 'T2677', 'T4496', 'T2421', 'T173', 'T1884', 'T2874', 'T7804', 'T7280', 'T7778', 'T2438', 'T2580', 'T4536', 'T7775', 'T6464', 'T5795', 'T4984', 'T7456', 'T1303', 'T658', 'T1483', 'T1747', 'T4743', 'T6184', 'T5396', 'T5945', 'T6547', 'T862', 'T5598', 'T7829', 'T6300', 'T1839', 'T2913', 'T2451', 'T5193', 'T6102', 'T2086', 'T2984', 'T2771', 'T1972', 'T6694', 'T2907', 'T714', 'T1630', 'T2196', 'T6839', 'T6406', 'T787', 'T198', 'T7563', 'T1841', 'T4336', 'T6629', 'T434', 'T412', 'T826', 'T3748', 'T7486', 'T4090', 'T921', 'T7630', 'T6027', 'T1142', 'T603', 'T1357', 'T126', 'T1321', 'T6768', 'T1809', 'T3037', 'T7619', 'T2926', 'T3363', 'T4388']"
3,"['yogurt', 'other vegetables']",121,0.8086613646995924,"['T5328', 'T6018', 'T6309', 'T2327', 'T821', 'T4782', 'T6943', 'T6006', 'T7864', 'T3957', 'T1985', 'T5330', 'T6121', 'T2664', 'T2299', 'T2287', 'T5753', 'T809', 'T4454', 'T5428', 'T5311', 'T1917', 'T5994', 'T5903', 'T3511', 'T2740', 'T951', 'T7562', 'T3291', 'T4890', 'T1895', 'T1294', 'T4842', 'T7656', 'T5294', 'T383', 'T7771', 'T7835', 'T2762', 'T133', 'T4916', 'T174', 'T3494', 'T926', 'T5805', 'T6891', 'T6042', 'T6024', 'T3524', 'T147', 'T3084', 'T5960', 'T7862', 'T5979', 'T5454', 'T5918', 'T3032', 'T2201', 'T2635', 'T6651', 'T2692', 'T7856', 'T3792', 'T4574', 'T237', 'T2072', 'T7724', 'T5135', 'T2117', 'T4667', 'T940', 'T320', 'T1942', 'T6138', 'T6496', 'T712', 'T3404', 'T4790', 'T2318', 'T2180', 'T3206', 'T2665', 'T4948', 'T2257', 'T6835', 'T3011', 'T3931', 'T1900', 'T1569', 'T6925', 'T3433', 'T2056', 'T2', 'T2473', 'T7', 'T2429', 'T7029', 'T1547', 'T7782', 'T1586', 'T4591', 'T5632', 'T1211', 'T475', 'T5921', 'T1850', 'T1222', 'T2737', 'T6462', 'T7659', 'T824', 'T1377', 'T5565', 'T4348', 'T7052', 'T1207', 'T1026', 'T376', 'T2957', 'T3017', 'T2958']"
4,"['yogurt', 'soda']",87,0.5814342043707813,"['T2966', 'T4792', 'T4118', 'T5296', 'T6448', 'T330', 'T6304', 'T474', 'T7214', 'T2662', 'T1862', 'T7048', 'T2098', 'T452', 'T4056', 'T1985', 'T4093', 'T4987', 'T3756', 'T6527', 'T2411', 'T2478', 'T123', 'T5311', 'T3543', 'T3511', 'T5887', 'T2554', 'T2041', 'T334', 'T40', 'T1452', 'T950', 'T212', 'T1810', 'T7444', 'T682', 'T1037', 'T7071', 'T574', 'T4150', 'T7070', 'T3582', 'T7778', 'T6593', 'T795', 'T2310', 'T3377', 'T4180', 'T4536', 'T6548', 'T7333', 'T6671', 'T237', 'T5768', 'T1740', 'T6370', 'T5723', 'T7319', 'T5828', 'T1084', 'T2685', 'T291', 'T3447', 'T4548', 'T3013', 'T5193', 'T5095', 'T2992', 'T776', 'T1900', 'T2679', 'T2056', 'T5512', 'T2219', 'T7479', 'T1586', 'T2425', 'T387', 'T7630', 'T3465', 'T7000', 'T7096', 'T3012', 'T148', 'T2447', 'T5558']"
5,"['yogurt', 'rolls/buns']",117,0.7819287576020851,"['T1994', 'T5271', 'T3450', 'T4063', 'T356', 'T5499', 'T4894', 'T2536', 'T2799', 'T3448', 'T3546', 'T6778', 'T7062', 'T4108', 'T3454', 'T94', 'T7135', 'T2247', 'T7452', 'T7706', 'T5508', 'T5887', 'T951', 'T5549', 'T6793', 'T7181', 'T573', 'T5709', 'T2035', 'T2230', 'T7796', 'T4645', 'T5352', 'T3710', 'T4011', 'T2189', 'T200', 'T5771', 'T6019', 'T3233', 'T3489', 'T7061', 'T6024', 'T563', 'T660', 'T2611', 'T7481', 'T7711', 'T7204', 'T1475', 'T6017', 'T7862', 'T2090', 'T5652', 'T7778', 'T3437', 'T6292', 'T7026', 'T3236', 'T6775', 'T4536', 'T6842', 'T3156', 'T2434', 'T2619', 'T349', 'T550', 'T887', 'T679', 'T6858', 'T2221', 'T2072', 'T3761', 'T6732', 'T1938', 'T3919', 'T2312', 'T4402', 'T7421', 'T5193', 'T1998', 'T5331', 'T5361', 'T6835', 'T3011', 'T5860', 'T2473', 'T4966', 'T209', 'T948', 'T4417', 'T4809', 'T7738', 'T2964', 'T1277', 'T5716', 'T4703', 'T73', 'T3374', 'T3231', 'T3378', 'T4066', 'T2688', 'T824', 'T7630', 'T3923', 'T5334', 'T3808', 'T7052', 'T7794', 'T6158', 'T3095', 'T5794', 'T5963', 'T1748', 'T719', 'T4507']"
6,"['yogurt', 'whole milk']",167,1.116086346320925,"['T7152', 'T3301', 'T6018', 'T6309', 'T3359', 'T2036', 'T2662', 'T6686', 'T2743', 'T7330', 'T2202', 'T2321', 'T123', 'T1196', 'T4672', 'T7201', 'T7088', 'T7452', 'T7317', 'T5508', 'T5506', 'T2667', 'T5709', 'T2030', 'T4596', 'T5294', 'T2820', 'T7580', 'T4649', 'T82', 'T546', 'T2888', 'T7289', 'T6020', 'T4553', 'T3585', 'T1423', 'T224', 'T7275', 'T1802', 'T3582', 'T808', 'T5958', 'T6412', 'T3156', 'T707', 'T3767', 'T3799', 'T4828', 'T3323', 'T6652', 'T2117', 'T3919', 'T626', 'T2758', 'T631', 'T2318', 'T3206', 'T5193', 'T2171', 'T2783', 'T202', 'T3433', 'T5556', 'T7479', 'T4417', 'T1761', 'T2970', 'T3978', 'T759', 'T4191', 'T3703', 'T4208', 'T5928', 'T4680', 'T7503', 'T4082', 'T148', 'T3731', 'T2447', 'T5957', 'T319', 'T3458', 'T5145', 'T2327', 'T5707', 'T3948', 'T5271', 'T356', 'T3534', 'T3434', 'T5489', 'T786', 'T4275', 'T7075', 'T6971', 'T7602', 'T6888', 'T6664', 'T5433', 'T1798', 'T7706', 'T3511', 'T5887', 'T4461', 'T951', 'T832', 'T4186', 'T4221', 'T5263', 'T1034', 'T1210', 'T3003', 'T4916', 'T1788', 'T6042', 'T404', 'T4722', 'T2138', 'T3026', 'T212', 'T6011', 'T147', 'T7386', 'T7204', 'T6017', 'T1162', 'T2463', 'T1550', 'T6631', 'T7026', 'T1178', 'T557', 'T471', 'T5069', 'T679', 'T6370', 'T4487', 'T1627', 'T2312', 'T551', 'T2665', 'T3551', 'T708', 'T6440', 'T1667', 'T2897', 'T3726', 'T5512', 'T5503', 'T4591', 'T5747', 'T2785', 'T2019', 'T257', 'T1377', 'T7630', 'T4348', 'T95', 'T1445', 'T2423', 'T5794', 'T4947', 'T3012', 'T1748', 'T5522', 'T825']"
7,"['other vegetables', 'whole milk']",222,1.4836596939116486,"['T17', 'T33', 'T43', 'T86', 'T147', 'T149', 'T247', 'T305', 'T316', 'T332', 'T381', 'T497', 'T597', 'T646', 'T675', 'T690', 'T750', 'T799', 'T817', 'T829', 'T838', 'T847', 'T881', 'T885', 'T900', 'T924', 'T929', 'T951', 'T981', 'T1035', 'T1115', 'T1152', 'T1189', 'T1244', 'T1248', 'T1279', 'T1312', 'T1324', 'T1347', 'T1368', 'T1377', 'T1394', 'T1465', 'T1529', 'T1535', 'T1581', 'T1653', 'T1736', 'T1768', 'T1808', 'T1856', 'T1911', 'T1971', 'T2016', 'T2054', 'T2097', 'T2101', 'T2117', 'T2152', 'T2208', 'T2270', 'T2318', 'T2327', 'T2403', 'T2404', 'T2456', 'T2525', 'T2548', 'T2563', 'T2572', 'T2578', 'T2584', 'T2599', 'T2665', 'T2815', 'T2837', 'T2838', 'T2955', 'T2990', 'T3058', 'T3079', 'T3126', 'T3140', 'T3142', 'T3143', 'T3173', 'T3206', 'T3230', 'T3253', 'T3326', 'T3328', 'T3346', 'T3433', 'T3451', 'T3457', 'T3469', 'T3511', 'T3514', 'T3525', 'T3558', 'T3575', 'T3588', 'T3609', 'T3671', 'T3736', 'T3749', 'T3776', 'T3781', 'T3804', 'T3825', 'T3849', 'T3850', 'T3897', 'T3942', 'T3970', 'T4000', 'T4006', 'T4032', 'T4033', 'T4096', 'T4207', 'T4249', 'T4296', 'T4337', 'T4348', 'T4358', 'T4394', 'T4397', 'T4489', 'T4538', 'T4539', 'T4567', 'T4591', 'T4597', 'T4648', 'T4731', 'T4739', 'T4824', 'T4830', 'T4831', 'T4852', 'T4916', 'T4930', 'T4981', 'T4988', 'T5029', 'T5229', 'T5252', 'T5294', 'T5324', 'T5405', 'T5513', 'T5670', 'T5735', 'T5749', 'T5750', 'T5751', 'T5754', 'T5763', 'T5764', 'T5802', 'T5812', 'T5825', 'T5840', 'T5847', 'T5865', 'T5926', 'T5956', 'T5968', 'T6018', 'T6042', 'T6043', 'T6076', 'T6130', 'T6189', 'T6194', 'T6210', 'T6291', 'T6309', 'T6333', 'T6351', 'T6373', 'T6385', 'T6396', 'T6410', 'T6423', 'T6515', 'T6538', 'T6646', 'T6648', 'T6650', 'T6809', 'T6840', 'T6850', 'T6862', 'T6938', 'T6976', 'T7003', 'T7103', 'T7106', 'T7161', 'T7250', 'T7263', 'T7267', 'T7310', 'T7315', 'T7356', 'T7389', 'T7401', 'T7409', 'T7541', 'T7574', 'T7631', 'T7651', 'T7684', 'T7740', 'T7770', 'T7781', 'T7812', 'T7822', 'T7853', 'T7861']"
8,"['root vegetables', 'whole milk']",113,0.755196150504578,"['T7241', 'T5271', 'T7850', 'T1721', 'T6352', 'T4648', 'T5109', 'T5127', 'T727', 'T5819', 'T1402', 'T6353', 'T7769', 'T7517', 'T572', 'T322', 'T7430', 'T5433', 'T4798', 'T5308', 'T7646', 'T5242', 'T4461', 'T742', 'T4073', 'T627', 'T4831', 'T3733', 'T4010', 'T4021', 'T4221', 'T236', 'T5276', 'T6368', 'T5977', 'T2843', 'T4824', 'T1995', 'T3026', 'T5790', 'T325', 'T1911', 'T3419', 'T3731', 'T208', 'T1184', 'T6447', 'T1282', 'T5404', 'T3599', 'T3154', 'T458', 'T5696', 'T6472', 'T2909', 'T3993', 'T120', 'T3997', 'T1219', 'T3752', 'T7641', 'T1441', 'T368', 'T6522', 'T2744', 'T2655', 'T617', 'T2663', 'T829', 'T4128', 'T2450', 'T5929', 'T1228', 'T2571', 'T3443', 'T167', 'T4593', 'T716', 'T3253', 'T847', 'T3142', 'T6440', 'T6980', 'T4173', 'T529', 'T35', 'T5206', 'T1130', 'T1731', 'T2593', 'T4354', 'T2335', 'T3938', 'T2928', 'T4124', 'T1597', 'T257', 'T2034', 'T5798', 'T6883', 'T4348', 'T2572', 'T4812', 'T2246', 'T2329', 'T1445', 'T7378', 'T6645', 'T7544', 'T575', 'T6172', 'T1315', 'T398']"
9,"['root vegetables', 'soda']",79,0.5279689901757669,"['T2075', 'T6199', 'T5296', 'T2825', 'T1533', 'T54', 'T5819', 'T5674', 'T4260', 'T2428', 'T6689', 'T70', 'T420', 'T7611', 'T5564', 'T3329', 'T7284', 'T2377', 'T1460', 'T2248', 'T6623', 'T6368', 'T4824', 'T2645', 'T47', 'T2412', 'T5880', 'T7100', 'T6099', 'T6447', 'T1492', 'T5179', 'T3540', 'T5822', 'T4190', 'T2310', 'T611', 'T3988', 'T3119', 'T1747', 'T1446', 'T7028', 'T1084', 'T6413', 'T2524', 'T6163', 'T989', 'T7729', 'T4590', 'T1443', 'T2984', 'T2917', 'T2915', 'T2122', 'T5756', 'T1503', 'T4753', 'T7134', 'T3747', 'T564', 'T2240', 'T2440', 'T2335', 'T6417', 'T6371', 'T5184', 'T834', 'T4861', 'T5616', 'T3033', 'T4684', 'T3177', 'T1952', 'T3418', 'T5787', 'T303', 'T4685', 'T5417', 'T3363']"
10,"['root vegetables', 'other vegetables']",79,0.5279689901757669,"['T2495', 'T6343', 'T4534', 'T4648', 'T6312', 'T2238', 'T1709', 'T2637', 'T3395', 'T3916', 'T3299', 'T2703', 'T7436', 'T48', 'T2885', 'T6669', 'T7618', 'T4831', 'T1646', 'T4890', 'T116', 'T2566', 'T7449', 'T4824', 'T6031', 'T1911', 'T3195', 'T4342', 'T917', 'T4003', 'T3540', 'T7704', 'T6727', 'T5843', 'T2620', 'T5822', 'T7768', 'T5683', 'T1587', 'T1717', 'T3988', 'T2315', 'T2903', 'T216', 'T1367', 'T829', 'T2018', 'T4343', 'T6588', 'T6413', 'T5044', 'T1942', 'T5181', 'T5925', 'T3253', 'T1032', 'T847', 'T179', 'T1603', 'T2180', 'T7810', 'T5482', 'T7717', 'T3142', 'T3602', 'T7500', 'T7274', 'T1944', 'T3405', 'T4348', 'T2949', 'T1112', 'T6953', 'T2572', 'T2132', 'T7433', 'T4355', 'T1800', 'T3363']"
11,"['root vegetables', 'rolls/buns']",86,0.5747510525964045,"['T6568', 'T3141', 'T4167', 'T1241', 'T2238', 'T6829', 'T4439', 'T2247', 'T3372', 'T1860', 'T6207', 'T5210', 'T5245', 'T1450', 'T1995', 'T3683', 'T4342', 'T4003', 'T5737', 'T3802', 'T3482', 'T350', 'T216', 'T3115', 'T7709', 'T1263', 'T1203', 'T141', 'T4593', 'T5077', 'T3504', 'T5098', 'T2984', 'T4889', 'T7577', 'T6474', 'T7367', 'T4083', 'T2848', 'T7311', 'T6068', 'T7248', 'T4267', 'T2246', 'T6877', 'T6952', 'T3128', 'T4871', 'T7544', 'T2759', 'T3416', 'T1124', 'T3363', 'T7554', 'T5271', 'T374', 'T2825', 'T2841', 'T6326', 'T1302', 'T4365', 'T7135', 'T5308', 'T1524', 'T3893', 'T917', 'T6935', 'T7418', 'T318', 'T3883', 'T3154', 'T2565', 'T6048', 'T368', 'T6522', 'T684', 'T1747', 'T876', 'T771', 'T455', 'T5151', 'T2688', 'T7187', 'T2956', 'T687', 'T719']"
12,"['root vegetables', 'yogurt']",64,0.42772171356011496,"['T5271', 'T7001', 'T6761', 'T5296', 'T4914', 'T5942', 'T390', 'T5349', 'T5594', 'T7135', 'T5433', 'T2866', 'T2166', 'T2247', 'T4461', 'T5661', 'T4890', 'T6560', 'T4221', 'T1258', 'T5815', 'T2498', 'T4366', 'T4544', 'T3026', 'T3731', 'T3655', 'T4772', 'T5836', 'T1039', 'T2714', 'T2310', 'T1703', 'T1028', 'T4724', 'T6180', 'T3073', 'T1084', 'T4497', 'T7443', 'T7032', 'T1942', 'T577', 'T6618', 'T2787', 'T2180', 'T3021', 'T1086', 'T6440', 'T3619', 'T6338', 'T562', 'T7149', 'T6000', 'T1523', 'T257', 'T2688', 'T3035', 'T6846', 'T4348', 'T6649', 'T2489', 'T1445', 'T719']"
13,"['rolls/buns', 'whole milk']",209,1.3967787208447504,"['T6373', 'T7721', 'T812', 'T740', 'T4174', 'T3749', 'T2343', 'T4598', 'T6328', 'T3558', 'T3305', 'T7022', 'T78', 'T98', 'T7452', 'T5508', 'T5709', 'T901', 'T3343', 'T1995', 'T4084', 'T3943', 'T3464', 'T6169', 'T2024', 'T7081', 'T6782', 'T4586', 'T3292', 'T1527', 'T1505', 'T1485', 'T3502', 'T6688', 'T367', 'T4103', 'T1371', 'T3221', 'T4608', 'T4644', 'T7781', 'T5193', 'T5587', 'T545', 'T5706', 'T2907', 'T4417', 'T3560', 'T7123', 'T632', 'T1114', 'T5394', 'T7544', 'T1671', 'T4165', 'T5619', 'T1244', 'T356', 'T1101', 'T4511', 'T6177', 'T5308', 'T7706', 'T2410', 'T3023', 'T5887', 'T2562', 'T6131', 'T1592', 'T3092', 'T6819', 'T6017', 'T1602', 'T7031', 'T3444', 'T2680', 'T3154', 'T7026', 'T7027', 'T5105', 'T679', 'T6300', 'T4397', 'T844', 'T7392', 'T5513', 'T7105', 'T6797', 'T2556', 'T6076', 'T4969', 'T5229', 'T2000', 'T7266', 'T2985', 'T4040', 'T5794', 'T171', 'T1886', 'T6816', 'T3075', 'T7337', 'T180', 'T3165', 'T5042', 'T918', 'T271', 'T5956', 'T906', 'T72', 'T2074', 'T5840', 'T4967', 'T4744', 'T1458', 'T5614', 'T1396', 'T3995', 'T3184', 'T7435', 'T3156', 'T1768', 'T3999', 'T1580', 'T3919', 'T7644', 'T1665', 'T530', 'T862', 'T7484', 'T4593', 'T6875', 'T2086', 'T5392', 'T135', 'T7765', 'T1611', 'T3474', 'T726', 'T7846', 'T2246', 'T913', 'T3361', 'T6313', 'T5581', 'T1180', 'T3407', 'T453', 'T5271', 'T4262', 'T5124', 'T2791', 'T4238', 'T2545', 'T7059', 'T3850', 'T2159', 'T5884', 'T504', 'T3344', 'T4448', 'T7642', 'T951', 'T6098', 'T3778', 'T1967', 'T3457', 'T1494', 'T3928', 'T3100', 'T89', 'T7204', 'T6436', 'T4009', 'T3930', 'T6403', 'T7244', 'T368', 'T3157', 'T6522', 'T378', 'T2066', 'T6143', 'T2312', 'T7492', 'T3213', 'T7420', 'T7179', 'T497', 'T3864', 'T5670', 'T394', 'T1131', 'T5781', 'T2850', 'T7376', 'T5750', 'T5329', 'T178', 'T7213', 'T7630', 'T2026', 'T1348', 'T5772', 'T7210', 'T1748', 'T259', 'T4468', 'T3960']"
14,"['rolls/buns', 'other vegetables']",158,1.0559379803515339,"['T6373', 'T3749', 'T7566', 'T2238', 'T6065', 'T3558', 'T5144', 'T7621', 'T6602', 'T1266', 'T7755', 'T6356', 'T137', 'T7862', 'T4003', 'T5160', 'T216', 'T2072', 'T3684', 'T7781', 'T4140', 'T1605', 'T3956', 'T436', 'T4330', 'T2308', 'T603', 'T7144', 'T3481', 'T6443', 'T3363', 'T4980', 'T1244', 'T3992', 'T1376', 'T793', 'T1791', 'T1085', 'T4378', 'T6024', 'T3661', 'T7222', 'T5736', 'T3654', 'T917', 'T2421', 'T7804', 'T1482', 'T1699', 'T2392', 'T3987', 'T328', 'T4397', 'T5513', 'T7245', 'T220', 'T1921', 'T3011', 'T6076', 'T2473', 'T677', 'T5229', 'T3354', 'T7751', 'T3037', 'T5687', 'T5708', 'T4018', 'T7685', 'T2104', 'T7438', 'T1676', 'T6729', 'T6685', 'T204', 'T3782', 'T5981', 'T5956', 'T6346', 'T1710', 'T2228', 'T5840', 'T7480', 'T6038', 'T7586', 'T1386', 'T7636', 'T7455', 'T4342', 'T333', 'T4572', 'T7076', 'T1768', 'T7219', 'T491', 'T1483', 'T4743', 'T490', 'T4849', 'T445', 'T2944', 'T5398', 'T1972', 'T6835', 'T5403', 'T2204', 'T1841', 'T4669', 'T7288', 'T1809', 'T4411', 'T2695', 'T339', 'T2726', 'T1763', 'T1484', 'T1426', 'T1138', 'T4349', 'T2900', 'T4440', 'T5101', 'T2902', 'T3366', 'T3850', 'T7832', 'T5062', 'T4268', 'T951', 'T194', 'T3457', 'T7111', 'T5416', 'T6986', 'T223', 'T658', 'T2577', 'T4996', 'T4698', 'T3800', 'T497', 'T6102', 'T5670', 'T6804', 'T2857', 'T5750', 'T7565', 'T3242', 'T4845', 'T7279', 'T4989', 'T824', 'T1284', 'T4675', 'T7052', 'T7675', 'T4272', 'T1237']"
15,"['soda', 'other vegetables', 'whole milk']",17,0.11361358016440554,"['T3173', 'T3749', 'T6410', 'T7106', 'T17', 'T1312', 'T4824', 'T4739', 'T5735', 'T2990', 'T6976', 'T2152', 'T3781', 'T1971', 'T7003', 'T5751', 'T3511']"
16,"['soda', 'rolls/buns', 'whole milk']",15,0.10024727661565194,"['T2907', 'T3749', 'T1494', 'T2791', 'T7630', 'T1458', 'T862', 'T6300', 'T3464', 'T3092', 'T5193', 'T2086', 'T504', 'T4448', 'T5887']"
17,"['soda', 'rolls/buns', 'other vegetables']",17,0.11361358016440554,"['T3749', 'T5708', 'T658', 'T1841', 'T1483', 'T4743', 'T6685', 'T603', 'T5981', 'T1809', 'T3037', 'T2421', 'T6102', 'T7804', 'T6602', 'T1972', 'T3363']"
18,"['yogurt', 'other vegetables', 'whole milk']",17,0.11361358016440554,"['T3433', 'T6018', 'T5294', 'T2327', 'T6309', 'T4591', 'T4916', 'T6042', 'T2117', 'T1377', 'T147', 'T4348', 'T2318', 'T3206', 'T2665', 'T3511', 'T951']"
19,"['yogurt', 'soda', 'whole milk']",14,0.09356412484127515,"['T7630', 'T5512', 'T7479', 'T123', 'T148', 'T2662', 'T5193', 'T3511', 'T6370', 'T3582', 'T3012', 'T5887', 'T212', 'T2447']"
20,"['yogurt', 'soda', 'other vegetables']",7,0.04678206242063757,"['T1985', 'T2056', 'T1586', 'T237', 'T5311', 'T3511', 'T1900']"
21,"['yogurt', 'soda', 'rolls/buns']",5,0.03341575887188398,"['T4536', 'T7630', 'T5193', 'T5887', 'T7778']"
22,"['yogurt', 'rolls/buns', 'whole milk']",20,0.13366303548753591,"['T3156', 'T5709', 'T5271', 'T4417', 'T679', 'T356', 'T951', 'T3919', 'T7630', 'T2312', 'T7204', 'T6017', 'T5794', 'T5193', 'T7706', 'T7452', 'T5887', 'T7026', 'T1748', 'T5508']"
23,"['yogurt', 'rolls/buns', 'other vegetables']",9,0.06014836596939117,"['T2473', 'T3011', 'T7052', 'T7862', 'T6835', 'T2072', 'T6024', 'T951', 'T824']"
24,"['root vegetables', 'soda', 'rolls/buns']",4,0.026732607097507185,"['T2825', 'T1747', 'T2984', 'T3363']"
25,"['root vegetables', 'soda', 'whole milk']",5,0.03341575887188398,"['T6447', 'T6368', 'T2335', 'T4824', 'T5819']"
26,"['root vegetables', 'soda', 'other vegetables']",6,0.040098910646260776,"['T3988', 'T3540', 'T4824', 'T5822', 'T6413', 'T3363']"
27,"['root vegetables', 'other vegetables', 'whole milk']",10,0.06683151774376796,"['T4648', 'T829', 'T4824', 'T1911', 'T4348', 'T2572', 'T3253', 'T847', 'T3142', 'T4831']"
28,"['root vegetables', 'rolls/buns', 'other vegetables']",6,0.040098910646260776,"['T4342', 'T917', 'T216', 'T4003', 'T2238', 'T3363']"
29,"['root vegetables', 'rolls/buns', 'whole milk']",9,0.06014836596939117,"['T5271', 'T4593', 'T368', 'T2246', 'T6522', 'T7544', 'T5308', 'T3154', 'T1995']"
30,"['root vegetables', 'yogurt', 'whole milk']",10,0.06683151774376796,"['T3731', 'T4221', 'T4348', 'T5271', 'T5433', 'T1445', 'T6440', 'T257', 'T4461', 'T3026']"
31,"['root vegetables', 'yogurt', 'rolls/buns']",5,0.03341575887188398,"['T5271', 'T7135', 'T2247', 'T719', 'T2688']"
32,"['root vegetables', 'yogurt', 'soda']",3,0.020049455323130388,"['T1084', 'T2310', 'T5296']"
33,"['root vegetables', 'yogurt', 'other vegetables']",4,0.026732607097507185,"['T4890', 'T4348', 'T2180', 'T1942']"
34,"['rolls/buns', 'other vegetables', 'whole milk']",18,0.12029673193878233,"['T497', 'T951', 'T1244', 'T1768', 'T3457', 'T3558', 'T3749', 'T3850', 'T4397', 'T5229', 'T5513', 'T5670', 'T5750', 'T5840', 'T5956', 'T6076', 'T6373', 'T7781']"
35,"['yogurt', 'soda', 'rolls/buns', 'whole milk']",3,0.020049455323130388,"['T5193', 'T5887', 'T7630']"
